combination,train_accuracy,val_accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.0,0.7068786213044124,0.1,0.001,3,1,10
2,0.0,0.7079185856484921,0.1,0.001,3,1,50
3,0.0,0.711335611350468,0.1,0.001,3,1,100
4,0.0,0.7065814886346754,0.1,0.001,3,10,10
5,0.0,0.7105927796761254,0.1,0.001,3,10,50
6,0.0,0.7120784430248106,0.1,0.001,3,10,100
7,0.0,0.7010845342445402,0.1,0.001,3,100,10
8,0.0,0.7016787995840142,0.1,0.001,3,100,50
9,0.0,0.7034615956024365,0.1,0.001,3,100,100
10,0.0,0.7466943990491755,0.1,0.001,5,1,10
11,0.0,0.7422374090031199,0.1,0.001,5,1,50
12,0.0,0.7425345416728569,0.1,0.001,5,1,100
13,0.0,0.7438716386866736,0.1,0.001,5,10,10
14,0.0,0.7386718169662755,0.1,0.001,5,10,50
15,0.0,0.7365918882781162,0.1,0.001,5,10,100
16,0.0,0.7162383004011291,0.1,0.001,5,100,10
17,0.0,0.7198038924379736,0.1,0.001,5,100,50
18,0.0,0.7223295201307384,0.1,0.001,5,100,100
19,0.0,0.7624424305452384,0.1,0.001,8,1,10
20,0.0,0.7622938642103699,0.1,0.001,8,1,50
21,0.0,0.76630515525182,0.1,0.001,8,1,100
22,0.0,0.7569454761551032,0.1,0.001,8,10,10
23,0.0,0.7596196701827366,0.1,0.001,8,10,50
24,0.0,0.7594711038478681,0.1,0.001,8,10,100
25,0.0,0.7239637498142921,0.1,0.001,8,100,10
26,0.0,0.7270836428465309,0.1,0.001,8,100,50
27,0.0,0.7322834645669292,0.1,0.001,8,100,100
28,0.0,0.7582825731689199,0.1,0.001,10,1,10
29,0.0,0.7618481652057644,0.1,0.001,10,1,50
31,0.7084323922734027,0.7068786213044124,0.1,0.001,3,1,10
32,0.7094725111441308,0.7079185856484921,0.1,0.001,3,1,50
33,0.7140044576523031,0.711335611350468,0.1,0.001,3,1,100
34,0.7081352154531947,0.7065814886346754,0.1,0.001,3,10,10
35,0.712072808320951,0.7105927796761254,0.1,0.001,3,10,50
36,0.7140416047548291,0.7120784430248106,0.1,0.001,3,10,100
37,0.7024145616641901,0.7010845342445402,0.1,0.001,3,100,10
38,0.7030832095096582,0.7016787995840142,0.1,0.001,3,100,50
39,0.7044205052005944,0.7034615956024365,0.1,0.001,3,100,100
40,0.7538261515601783,0.7466943990491755,0.1,0.001,5,1,10
41,0.7524517087667162,0.7422374090031199,0.1,0.001,5,1,50
42,0.7537890044576523,0.7425345416728569,0.1,0.001,5,1,100
43,0.7510401188707281,0.7438716386866736,0.1,0.001,5,10,10
44,0.7480683506686479,0.7386718169662755,0.1,0.001,5,10,50
45,0.7483655274888559,0.7365918882781162,0.1,0.001,5,10,100
46,0.7231054977711738,0.7162383004011291,0.1,0.001,5,100,10
47,0.7263001485884101,0.7198038924379736,0.1,0.001,5,100,50
48,0.7266716196136701,0.7223295201307384,0.1,0.001,5,100,100
49,0.7935735512630014,0.7624424305452384,0.1,0.001,8,1,10
50,0.7949479940564635,0.7622938642103699,0.1,0.001,8,1,50
51,0.7962109955423476,0.76630515525182,0.1,0.001,8,1,100
52,0.7813150074294205,0.7569454761551032,0.1,0.001,8,10,10
53,0.7791604754829123,0.7596196701827366,0.1,0.001,8,10,50
54,0.7802748885586924,0.7594711038478681,0.1,0.001,8,10,100
55,0.736552748885587,0.7239637498142921,0.1,0.001,8,100,10
56,0.737184249628529,0.7270836428465309,0.1,0.001,8,100,50
57,0.7402303120356613,0.7322834645669292,0.1,0.001,8,100,100
58,0.825074294205052,0.7582825731689199,0.1,0.001,10,1,10
59,0.826151560178306,0.7618481652057644,0.1,0.001,10,1,50
60,0.824888558692422,0.762888129549844,0.1,0.001,10,1,100
61,0.7890787518573551,0.7544198484623384,0.1,0.001,10,10,10
62,0.7898216939078752,0.7579854404991829,0.1,0.001,10,10,50
63,0.7890416047548291,0.7582825731689199,0.1,0.001,10,10,100
64,0.736961367013373,0.7245580151537662,0.1,0.001,10,100,10
65,0.7391158989598812,0.727975040855742,0.1,0.001,10,100,50
66,0.7411589895988113,0.7328777299064032,0.1,0.001,10,100,100
67,0.7148959881129272,0.7107413460109939,0.1,0.01,3,1,10
68,0.7192050520059435,0.7187639280938939,0.1,0.01,3,1,50
69,0.7262630014858841,0.7258951121675828,0.1,0.01,3,1,100
70,0.7140416047548291,0.7120784430248106,0.1,0.01,3,10,10
71,0.7155274888558693,0.715346902391918,0.1,0.01,3,10,50
72,0.72537147102526,0.7248551478235032,0.1,0.01,3,10,100
73,0.7043833580980684,0.7034615956024365,0.1,0.01,3,100,10
74,0.7080237741456167,0.711632744020205,0.1,0.01,3,100,50
75,0.7137072808320951,0.7154954687267865,0.1,0.01,3,100,100
76,0.7532689450222882,0.7432773733471996,0.1,0.01,5,1,10
77,0.7608469539375928,0.7510028227603625,0.1,0.01,5,1,50
78,0.7641158989598811,0.7541227157926014,0.1,0.01,5,1,100
79,0.749702823179792,0.7362947556083791,0.1,0.01,5,10,10
